EXP	NUM	AGR	AES	TOT
naf	9	28.84	0	28.84
naf	8	4.512	0	4.512
naf	7	9.001	0	9.001
naf	11	8.25	0	8.25
naf	10	0	6	6
mal	9	52.925	0	52.925
mal	8	20.922	0	20.922
mal	7	62.999	0	62.999
mal	13	16.003	0	16.003
mal	12	7.003	0	7.003
mal	11	7.001	0	7.001
mal	10	6.502	0	6.502
con	9	39.935	8.999	48.934
con	8	0.243	18.627	18.87
con	7	56.753	0	56.753
con 	13	18.248	0	18.248
con	12	74.711	0	74.711
con	11	8.708	0	8.708
con	10	4.845	0	4.845
atf	9	228.117	137.764	365.881
atf	8	87.513	235.306	322.819
atf	7	0	363.857	363.857
atf	13	0	366.004	366.004
atf	12	87.251	258.283	345.534
atf	10	136.569	107.88	244.449
